Team,Win Group,R32,Quarters,Semis,Final,Champion
España,82.0%,100.0%,50.0%,32.0%,19.0%,14.0%
Argentina,89.0%,100.0%,45.0%,25.0%,19.0%,13.0%
Francia,68.0%,98.0%,51.0%,26.0%,15.0%,12.0%
Inglaterra,73.0%,98.0%,37.0%,16.0%,10.0%,9.0%
Brasil,71.0%,96.0%,36.0%,13.0%,9.0%,8.0%
Portugal,41.0%,96.0%,39.0%,23.0%,11.0%,7.0%
Japón,42.0%,91.0%,34.0%,18.0%,14.0%,5.0%
Bélgica,51.0%,95.0%,36.0%,19.0%,9.0%,5.0%
Irán,35.0%,93.0%,35.0%,19.0%,10.0%,4.0%
Países Bajos,50.0%,91.0%,42.0%,25.0%,11.0%,4.0%
Alemania,67.0%,98.0%,45.0%,27.0%,11.0%,3.0%
Marruecos,25.0%,93.0%,36.0%,24.0%,11.0%,3.0%
Colombia,46.0%,92.0%,40.0%,19.0%,3.0%,3.0%
Croacia,22.0%,89.0%,30.0%,15.0%,5.0%,2.0%
Senegal,22.0%,83.0%,33.0%,17.0%,11.0%,2.0%
